warm,autism1,gmo1,ftblack,ftwhite,fthisp,ftasian,ftmuslim
2,2,2,75,75,64,63,30
2,2,1,99,99,100,99,100
2,2,1,52,50,52,52,31
1,-1,-1,39,40,41,29,42
1,-1,-1,99,100,99,99,100
1,2,2,60,60,60,61,60
1,2,2,60,85,80,80,80
1,2,1,79,80,82,81,33
1,2,1,89,100,69,88,21
1,-1,-1,72,47,89,97,65
1,1,1,50,60,50,50,31
2,-1,-1,94,92,91,89,3
2,2,1,71,74,70,70,42
2,-1,-1,66,0,78,80,0
2,-1,-1,96,95,95,95,72
1,2,1,71,70,71,70,60
1,2,1,85,80,83,88,22
1,2,1,90,70,99,75,75
2,-1,-1,93,98,97,98,31
1,-1,-1,65,66,59,61,61
1,-1,-1,85,39,100,44,66
2,-1,-1,80,86,83,71,59
2,2,1,90,90,90,90,50
1,-1,-1,100,99,99,94,38
1,2,1,88,69,84,86,66
1,2,1,50,50,50,50,51
1,1,2,59,70,69,72,10
1,-1,-1,51,51,51,51,50
1,2,1,72,72,71,72,70
2,-1,-1,51,51,50,51,33
1,-1,-1,52,49,52,51,54
2,1,2,50,50,49,46,53
2,2,2,0,100,0,0,0
1,-1,-1,60,59,52,60,50
1,2,1,78,87,81,82,60
2,-1,-1,73,82,93,92,72
2,-1,-1,51,50,51,51,0
2,2,2,67,89,50,79,0
1,2,1,50,48,50,51,47
1,-1,-1,51,53,90,98,90
2,-1,-1,50,51,38,49,51
1,2,1,72,72,55,86,47
2,-1,-1,100,100,50,74,1
1,-1,-1,88,69,81,77,77
1,2,2,91,91,94,83,87
2,1,1,40,34,25,29,32
1,-1,-1,64,30,69,77,75
2,2,1,81,76,94,91,15
1,2,1,41,85,41,78,62
2,2,1,51,55,50,56,31
1,-1,-1,64,60,66,59,58
2,1,2,63,68,78,69,1
1,2,2,86,81,81,80,73
1,-1,-1,50,50,50,50,50
1,-1,-1,90,88,90,90,90
2,-1,-1,22,36,18,13,14
1,-1,-1,81,88,81,88,72
1,2,2,99,78,95,100,78
2,2,2,65,57,41,65,53
1,-1,-1,50,50,50,50,52
1,2,1,100,100,98,90,46
1,2,2,56,99,56,75,69
2,-1,-1,89,90,72,89,1
1,2,1,100,100,100,100,100
1,2,1,70,65,56,84,88
2,2,1,75,99,99,100,11
1,-1,-1,76,76,76,76,76
1,2,1,9,99,34,25,10
1,-1,-1,97,86,95,97,95
1,2,2,81,57,62,63,69
1,2,2,58,85,86,86,10
1,-1,-1,90,74,73,91,50
1,2,1,50,50,50,50,15
2,1,2,42,60,28,21,2
2,-1,-1,85,85,85,85,30
1,-1,-1,41,50,50,50,20
2,-1,-1,60,60,40,50,41
1,2,1,100,100,100,100,41
1,2,1,100,100,100,97,100
2,-1,-1,100,99,85,100,10
2,-1,-1,69,66,76,72,5
1,-1,-1,90,5,90,90,90
2,-1,-1,31,76,78,80,0
1,2,1,56,53,57,56,57
2,-1,-1,100,90,91,75,78
2,2,2,87,87,87,88,10
1,-1,-1,80,80,56,89,52
1,2,1,84,87,81,81,82
1,2,2,85,50,50,51,48
2,2,1,71,77,72,78,38
1,-1,-1,88,97,92,88,78
2,-1,-1,98,92,95,94,85
2,-1,-1,77,70,51,70,25
2,1,2,93,100,97,97,0
1,-1,-1,61,63,62,63,64
1,2,1,1,100,1,67,1
2,1,2,47,47,47,3,0
2,-1,-1,51,54,35,46,33
2,2,2,72,74,69,62,42
1,2,1,49,50,50,50,19
2,-1,-1,51,50,50,50,51
1,2,2,69,55,61,63,60
1,-1,-1,57,80,60,67,54
1,-1,-1,19,63,15,74,5
1,2,1,46,51,46,51,47
2,-1,-1,50,50,50,50,41
1,-1,-1,50,49,51,51,24
2,1,2,98,99,99,100,67
1,-1,-1,50,70,45,55,40
1,-1,-1,100,75,100,100,100
2,2,1,50,50,100,50,50
2,-1,-1,83,62,39,47,53
1,2,1,65,71,53,73,91
1,-1,-1,92,85,90,90,85
2,2,1,88,100,78,89,1
2,-1,-1,41,51,50,19,14
1,2,2,98,98,98,97,57
1,2,1,64,69,70,77,66
1,2,1,99,100,100,100,100
1,-1,-1,42,53,48,53,41
1,2,2,50,64,53,56,46
1,2,2,85,90,72,84,5
1,-1,-1,50,50,50,50,50
1,2,1,70,70,70,70,70
1,-1,-1,88,92,91,71,89
1,-1,-1,70,72,73,71,63
1,2,2,65,47,57,47,6
1,2,2,30,37,61,50,41
1,-1,-1,56,64,56,57,62
1,2,1,91,91,69,94,85
1,-1,-1,82,77,63,70,56
1,2,1,100,94,100,100,99
1,-1,-1,100,100,98,67,0
1,-1,-1,94,89,53,78,56
2,1,2,70,72,70,61,5
2,1,2,73,74,72,72,8
1,-1,-1,40,72,62,69,2
